Lugar;Espacialidade;"COD IBGE";"IDHM Renda (2010)";"IDHM Longevidade (2010)";"IDHM Educação (2010)";"Taxa de analfabetismo - 11 a 14 anos (2010)";"Taxa de analfabetismo - 15 a 17 anos (2010)";"Taxa de analfabetismo - 18 a 24 anos (2010)";"Taxa de analfabetismo - 25 a 29 anos (2010)";"Taxa de analfabetismo - 25 anos ou mais (2010)";"Taxa de analfabetismo - 15 anos ou mais (2010)";"Taxa de analfabetismo - 18 anos ou mais (2010)";"Renda per capita (2010)"
"Unidade Territorial de Planejamento Vila Pedroso (Goiânia , RM Goiânia)";UDH;--;0,674;0,769;0,638;2,20;1,49;0,78;1,85;9,52;7,36;7,83;531,30
"Unidade Territorial de Planejamento Vila Regina : Parque Industrial Paulista / Santos Dumont (Goiânia , RM Goiânia)";UDH;--;0,734;0,848;0,705;1,19;1,10;0,68;0,94;4,53;3,63;3,81;771,88
"Unidade Territorial de Planejamento Vila Rizzo (Goiânia , RM Goiânia)";UDH;--;0,683;0,771;0,604;3,20;1,79;1,02;1,64;7,86;6,24;6,60;561,95
"Urias Magalhães / Gentil Meireles / Perim / Progresso (Goiânia , RM Goiânia)";UDH;--;0,801;0,909;0,760;0,92;0,31;0,43;0,49;2,67;2,14;2,26;1165,79
"Vera Cruz / Residencial Portinari / Jardim Imperial / Setor das Nações (Goiânia , RM Goiânia)";UDH;--;0,710;0,833;0,685;1,01;0,76;0,54;0,81;4,44;3,55;3,74;664,88
"Vila Adélia / Santa Rita / Industrial Mooca (Goiânia , RM Goiânia)";UDH;--;0,747;0,861;0,685;1,80;0,00;1,21;0,78;5,24;4,21;4,47;834,53
"Vila Adélia / Vila Mauá / Jardim Europa / Alvorada (Goiânia , RM Goiânia)";UDH;--;0,759;0,871;0,762;1,14;0,58;1,20;0,85;3,91;3,26;3,42;899,62
"Vila Bela / Residencial Kalahari (Goiânia , RM Goiânia)";UDH;--;0,966;0,929;0,908;0,00;2,00;0,00;0,00;0,55;0,57;0,49;3265,89
"Vila Boa / Faiçalville / Vila Rosa (Goiânia , RM Goiânia)";UDH;--;0,773;0,879;0,739;0,83;0,16;0,52;0,37;2,64;2,16;2,28;981,65
"Vila dos Sonhos / João Paulo II / Nossa Senhora da Piedade (Goiânia , RM Goiânia)";UDH;--;0,674;0,769;0,638;1,52;1,31;1,04;1,46;7,29;5,64;6,03;531,30
"Vila Lucy / Jardim Ana Lúcia (Goiânia , RM Goiânia)";UDH;--;0,839;0,910;0,833;0,00;0,00;0,00;0,00;1,86;1,46;1,55;1479,43
"Vila Morais (Goiânia , RM Goiânia)";UDH;--;0,733;0,821;0,726;1,87;0,00;0,59;0,00;4,53;3,57;3,77;766,42
"Vila Nova : Av. Anhanguera / Pça. da Bíblia (Goiânia , RM Goiânia)";UDH;--;0,839;0,910;0,833;1,53;0,54;0,24;0,45;1,62;1,27;1,31;1479,43
"Vila Nova : Pça. Boa Ventura (Goiânia , RM Goiânia)";UDH;--;0,771;0,884;0,776;0,88;0,00;0,49;1,20;3,00;2,34;2,48;969,31
"Vila Nova : Sesi / Mercado Municipal (Goiânia , RM Goiânia)";UDH;--;0,839;0,910;0,833;0,00;0,00;0,00;0,53;3,02;2,30;2,41;1479,43
"Vila Rica / Unidade Territorial de Planejamento Cisnes Norte (Goiânia , RM Goiânia)";UDH;--;0,648;0,738;0,537;2,04;3,33;1,30;0,00;10,57;8,86;9,18;451,54
"Vila União (Goiânia , RM Goiânia)";UDH;--;0,771;0,884;0,776;1,25;0,00;0,21;0,89;2,56;2,10;2,22;969,31

